"filename", "language", "PowerShell", "Docker", "YAML", "JavaScript", "Markdown", "JSON", "PostCSS", "HTML", "XML", "comment", "blank", "total"
"e:\Coding\Ezé-U Internet Monitor\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 11, 53
"e:\Coding\Ezé-U Internet Monitor\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 11, 53
"e:\Coding\Ezé-U Internet Monitor\.github\pull_request_template.md", "Markdown", 0, 0, 0, 0, 39, 0, 0, 0, 0, 11, 12, 62
"e:\Coding\Ezé-U Internet Monitor\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 361, 0, 0, 0, 0, 0, 104, 465
"e:\Coding\Ezé-U Internet Monitor\DOCKER_SETUP.md", "Markdown", 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 94, 352
"e:\Coding\Ezé-U Internet Monitor\Dockerfile", "Docker", 0, 49, 0, 0, 0, 0, 0, 0, 0, 21, 22, 92
"e:\Coding\Ezé-U Internet Monitor\OOKLA_CLI_SETUP.md", "Markdown", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 29, 124
"e:\Coding\Ezé-U Internet Monitor\PORT_CONFIGURATION.md", "Markdown", 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 77, 298
"e:\Coding\Ezé-U Internet Monitor\PRODUCTION_DEPLOYMENT.md", "Markdown", 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 108, 407
"e:\Coding\Ezé-U Internet Monitor\QUICKSTART.md", "Markdown", 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 56, 211
"e:\Coding\Ezé-U Internet Monitor\README.md", "Markdown", 0, 0, 0, 0, 386, 0, 0, 0, 0, 0, 112, 498
"e:\Coding\Ezé-U Internet Monitor\backend\logger.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 6, 13, 87
"e:\Coding\Ezé-U Internet Monitor\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2717, 0, 0, 0, 0, 1, 2718
"e:\Coding\Ezé-U Internet Monitor\backend\package.json", "JSON", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"e:\Coding\Ezé-U Internet Monitor\backend\server.js", "JavaScript", 0, 0, 0, 1327, 0, 0, 0, 0, 0, 174, 243, 1744
"e:\Coding\Ezé-U Internet Monitor\docker-build.ps1", "PowerShell", 61, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 85
"e:\Coding\Ezé-U Internet Monitor\docker-compose.yml", "YAML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 4, 33
"e:\Coding\Ezé-U Internet Monitor\docker-rebuild-optimized.ps1", "PowerShell", 80, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 105
"e:\Coding\Ezé-U Internet Monitor\docs\ALL_RECENT_UPDATES.md", "Markdown", 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 65, 339
"e:\Coding\Ezé-U Internet Monitor\docs\CLEAR_DATA_ENHANCEMENT.md", "Markdown", 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 82, 337
"e:\Coding\Ezé-U Internet Monitor\docs\DATABASE_UPDATE.md", "Markdown", 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 47, 203
"e:\Coding\Ezé-U Internet Monitor\docs\DATA_CAP_UI_IMPROVEMENTS.md", "Markdown", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 51, 305
"e:\Coding\Ezé-U Internet Monitor\docs\DOCKER_BUILD_ERROR_FIX.md", "Markdown", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 56, 232
"e:\Coding\Ezé-U Internet Monitor\docs\DOCKER_BUILD_FIX_QUICK.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 19, 70
"e:\Coding\Ezé-U Internet Monitor\docs\DOCKER_FIXES.md", "Markdown", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 40, 204
"e:\Coding\Ezé-U Internet Monitor\docs\DOCKER_PERFORMANCE_FIX.md", "Markdown", 0, 0, 0, 0, 438, 0, 0, 0, 0, 0, 144, 582
"e:\Coding\Ezé-U Internet Monitor\docs\DOCKER_PERFORMANCE_QUICK_FIX.md", "Markdown", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 53, 201
"e:\Coding\Ezé-U Internet Monitor\docs\DOCUMENTATION_UPDATE_SUMMARY.md", "Markdown", 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 59, 279
"e:\Coding\Ezé-U Internet Monitor\docs\ENHANCED_NOTIFICATIONS.md", "Markdown", 0, 0, 0, 0, 588, 0, 0, 0, 0, 0, 127, 715
"e:\Coding\Ezé-U Internet Monitor\docs\EXTERNAL_IP_FEATURE.md", "Markdown", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 52, 228
"e:\Coding\Ezé-U Internet Monitor\docs\FRONTEND_FIX_SUMMARY.md", "Markdown", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 32, 132
"e:\Coding\Ezé-U Internet Monitor\docs\HOST_RECOVERY_NOTIFICATIONS.md", "Markdown", 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 66, 313
"e:\Coding\Ezé-U Internet Monitor\docs\LATENCY_EXPLANATION.md", "Markdown", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 30, 150
"e:\Coding\Ezé-U Internet Monitor\docs\LATEST_REPORT_UPDATES.md", "Markdown", 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 53, 240
"e:\Coding\Ezé-U Internet Monitor\docs\MONITOR_INTERVAL_FEATURE.md", "Markdown", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 27, 134
"e:\Coding\Ezé-U Internet Monitor\docs\MONTHLY_DATA_CAP_FEATURE.md", "Markdown", 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 47, 236
"e:\Coding\Ezé-U Internet Monitor\docs\NETWORK_CONFIGURATION.md", "Markdown", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 26, 88
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATIONS_BUG_FIX.md", "Markdown", 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 47, 246
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATIONS_COMPLETE.md", "Markdown", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 60, 242
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATIONS_FEATURE.md", "Markdown", 0, 0, 0, 0, 464, 0, 0, 0, 0, 0, 103, 567
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATIONS_FIX.md", "Markdown", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 25, 96
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATIONS_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 314, 0, 0, 0, 0, 0, 81, 395
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATIONS_QUICKSTART.md", "Markdown", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 50, 202
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATIONS_QUICK_GUIDE.md", "Markdown", 0, 0, 0, 0, 308, 0, 0, 0, 0, 0, 67, 375
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATION_CHANNELS_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 377, 0, 0, 0, 0, 0, 115, 492
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATION_DEBUGGING_ENHANCED.md", "Markdown", 0, 0, 0, 0, 397, 0, 0, 0, 0, 0, 105, 502
"e:\Coding\Ezé-U Internet Monitor\docs\NOTIFICATION_UNDEFINED_FIX.md", "Markdown", 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 76, 315
"e:\Coding\Ezé-U Internet Monitor\docs\PERFORMANCE_FINAL_SUMMARY.md", "Markdown", 0, 0, 0, 0, 474, 0, 0, 0, 0, 0, 159, 633
"e:\Coding\Ezé-U Internet Monitor\docs\PERFORMANCE_OPTIMIZATION_ANALYSIS.md", "Markdown", 0, 0, 0, 0, 319, 0, 0, 0, 0, 0, 106, 425
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE1_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 87, 360
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE1_QUICK_REFERENCE.md", "Markdown", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 42, 157
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE1_TEST_RESULTS.md", "Markdown", 0, 0, 0, 0, 242, 0, 0, 0, 0, 0, 80, 322
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE2_COMPLETE.md", "Markdown", 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 82, 343
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE2_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 365, 0, 0, 0, 0, 0, 115, 480
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE2_QUICK_REFERENCE.md", "Markdown", 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 75, 260
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE2_TEST_RESULTS.md", "Markdown", 0, 0, 0, 0, 467, 0, 0, 0, 0, 0, 134, 601
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE3_COMPLETE.md", "Markdown", 0, 0, 0, 0, 452, 0, 0, 0, 0, 0, 123, 575
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE3_PLAN.md", "Markdown", 0, 0, 0, 0, 427, 0, 0, 0, 0, 0, 120, 547
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE3_QUICK_REFERENCE.md", "Markdown", 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 72, 283
"e:\Coding\Ezé-U Internet Monitor\docs\PHASE3_TEST_GUIDE.md", "Markdown", 0, 0, 0, 0, 393, 0, 0, 0, 0, 0, 111, 504
"e:\Coding\Ezé-U Internet Monitor\docs\PRODUCTION_FLEXIBILITY_UPDATE.md", "Markdown", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 44, 206
"e:\Coding\Ezé-U Internet Monitor\docs\README_UPDATE_SUMMARY.md", "Markdown", 0, 0, 0, 0, 265, 0, 0, 0, 0, 0, 71, 336
"e:\Coding\Ezé-U Internet Monitor\docs\REPORT_COLOR_GUIDE.md", "Markdown", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 29, 167
"e:\Coding\Ezé-U Internet Monitor\docs\REPORT_COMPLETE_UPDATE.md", "Markdown", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 39, 201
"e:\Coding\Ezé-U Internet Monitor\docs\REPORT_FEATURE.md", "Markdown", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 29, 166
"e:\Coding\Ezé-U Internet Monitor\docs\REPORT_NAMING_UPDATE.md", "Markdown", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 35, 197
"e:\Coding\Ezé-U Internet Monitor\docs\REPORT_SORTING_FEATURE.md", "Markdown", 0, 0, 0, 0, 293, 0, 0, 0, 0, 0, 61, 354
"e:\Coding\Ezé-U Internet Monitor\docs\REPORT_TABLE_WRAPPING.md", "Markdown", 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 46, 245
"e:\Coding\Ezé-U Internet Monitor\docs\REPORT_TAB_PREVIEW.md", "Markdown", 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 26, 189
"e:\Coding\Ezé-U Internet Monitor\docs\RESULT_URL_FEATURE.md", "Markdown", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 46, 252
"e:\Coding\Ezé-U Internet Monitor\docs\TEST_NOTIFICATION_ALL_CHANNELS.md", "Markdown", 0, 0, 0, 0, 375, 0, 0, 0, 0, 0, 129, 504
"e:\Coding\Ezé-U Internet Monitor\docs\TIME_RANGE_FIX.md", "Markdown", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 58, 237
"e:\Coding\Ezé-U Internet Monitor\docs\UI_ENHANCEMENTS.md", "Markdown", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 25, 190
"e:\Coding\Ezé-U Internet Monitor\docs\WEBPACK_WARNINGS_FIX.md", "Markdown", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 41, 121
"e:\Coding\Ezé-U Internet Monitor\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 16395, 0, 0, 0, 0, 1, 16396
"e:\Coding\Ezé-U Internet Monitor\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"e:\Coding\Ezé-U Internet Monitor\frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Coding\Ezé-U Internet Monitor\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"e:\Coding\Ezé-U Internet Monitor\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 164, 0, 0, 1, 21, 186
"e:\Coding\Ezé-U Internet Monitor\frontend\src\App.js", "JavaScript", 0, 0, 0, 363, 0, 0, 0, 0, 0, 28, 50, 441
"e:\Coding\Ezé-U Internet Monitor\frontend\src\components\Dashboard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1092, 0, 0, 15, 184, 1291
"e:\Coding\Ezé-U Internet Monitor\frontend\src\components\Dashboard.js", "JavaScript", 0, 0, 0, 1062, 0, 0, 0, 0, 0, 31, 73, 1166
"e:\Coding\Ezé-U Internet Monitor\frontend\src\components\Settings.css", "PostCSS", 0, 0, 0, 0, 0, 0, 1281, 0, 0, 12, 211, 1504
"e:\Coding\Ezé-U Internet Monitor\frontend\src\components\Settings.js", "JavaScript", 0, 0, 0, 1843, 0, 0, 0, 0, 0, 16, 102, 1961
"e:\Coding\Ezé-U Internet Monitor\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 7, 48
"e:\Coding\Ezé-U Internet Monitor\frontend\src\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"e:\Coding\Ezé-U Internet Monitor\package-lock.json", "JSON", 0, 0, 0, 0, 0, 4854, 0, 0, 0, 0, 1, 4855
"e:\Coding\Ezé-U Internet Monitor\package.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"e:\Coding\Ezé-U Internet Monitor\test-url-detection.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 10, 54
"Total", "-", 141, 49, 24, 4713, 15383, 24066, 2577, 18, 1, 347, 5380, 52699